Workbook row,Priority,Keyword,Language,Source type,Intent,Origin,Destination,Service / modifier,Recommended cluster,Current page,Current ranking evidence,Existing coverage,Missing coverage,Cannibalization risk,Classification,Recommended action,Evidence / handling note
706,P1,driver from Qatif to Bahrain,EN,Systematic long-tail expansion,Commercial,Qatif,Bahrain,Private driver,Qatif → Bahrain,/bahrain-saudi-gcc-transport/en/qatif-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,Generated from validated route + service pattern; verify before page creation
707,P1,driver from Riyadh to Bahrain,EN,Systematic long-tail expansion,Commercial,Riyadh,Bahrain,Private driver,Riyadh → Bahrain,/bahrain-saudi-gcc-transport/en/riyadh-to-bahrain/,Workbook marks route as protected; preserve existing ranking content,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Generated from validated route + service pattern; verify before page creation
708,P1,executive chauffeur Bahrain,EN,Service-intent expansion,Commercial,Bahrain,,Corporate,Corporate,/bahrain-saudi-gcc-transport/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Cluster with an existing service page unless unique intent and enough factual content justify a new page,Medium; validate before publishing,Evaluate for genuinely useful new page,Cluster with an existing service page unless unique intent and enough factual content justify a new page,Service-level opportunity; match only to supported services
709,P1,family transport Bahrain Saudi,EN,Service-intent expansion,Commercial,Bahrain,,Family/group,Family/group,/bahrain-saudi-gcc-transport/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Cluster with an existing service page unless unique intent and enough factual content justify a new page,Medium; validate before publishing,Evaluate for genuinely useful new page,Cluster with an existing service page unless unique intent and enough factual content justify a new page,Service-level opportunity; match only to supported services
710,P1,family transport from Al Ahsa to Bahrain,EN,Systematic long-tail expansion,Commercial,Al Ahsa,Bahrain,Family/group,Al Ahsa → Bahrain,/bahrain-saudi-gcc-transport/en/al-ahsa-to-bahrain/,No numeric ranking evidence supplied for this keyword,Dedicated bilingual route page exists,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,Generated from validated route + service pattern; verify before page creation
711,P1,family transport from Bahrain to Al Ahsa,EN,Systematic long-tail expansion,Commercial,Bahrain,Al Ahsa,Family/group,Bahrain → Al Ahsa,/bahrain-saudi-gcc-transport/en/bahrain-to-al-ahsa/,No numeric ranking evidence supplied for this keyword,Dedicated bilingual route page exists,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,Generated from validated route + service pattern; verify before page creation
712,P1,family transport from Bahrain to Hofuf,EN,Systematic long-tail expansion,Commercial,Bahrain,Hofuf,Family/group,Bahrain → Hofuf,/bahrain-saudi-gcc-transport/en/bahrain-to-hofuf/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,Generated from validated route + service pattern; verify before page creation
713,P1,family transport from Bahrain to Jubail,EN,Systematic long-tail expansion,Commercial,Bahrain,Jubail,Family/group,Bahrain → Jubail,/bahrain-saudi-gcc-transport/en/bahrain-to-jubail/,No numeric ranking evidence supplied for this keyword,Dedicated bilingual route page exists,Add to the matching route page only when it fits the page intent,Medium; keep one canonical route owner,Add safely to existing page,Add to the matching route page only when it fits the page intent,Generated from validated route + service pattern; verify before page creation
714,P1,family transport from Bahrain to Qatif,EN,Systematic long-tail expansion,Commercial,Bahrain,Qatif,Family/group,Bahrain → Qatif,/bahrain-saudi-gcc-transport/en/bahrain-to-qatif/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,Generated from validated route + service pattern; verify before page creation
715,P1,family transport from Bahrain to Riyadh,EN,Systematic long-tail expansion,Commercial,Bahrain,Riyadh,Family/group,Bahrain → Riyadh,/bahrain-saudi-gcc-transport/en/bahrain-to-riyadh/,Workbook marks route as protected; preserve existing ranking content,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Generated from validated route + service pattern; verify before page creation
716,P1,family transport from Hofuf to Bahrain,EN,Systematic long-tail expansion,Commercial,Hofuf,Bahrain,Family/group,Hofuf → Bahrain,/bahrain-saudi-gcc-transport/en/hofuf-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,Generated from validated route + service pattern; verify before page creation
717,P1,family transport from Jubail to Bahrain,EN,Systematic long-tail expansion,Commercial,Jubail,Bahrain,Family/group,Jubail → Bahrain,/bahrain-saudi-gcc-transport/en/jubail-to-bahrain/,No numeric ranking evidence supplied for this keyword,Dedicated bilingual route page exists,Add to the matching route page only when it fits the page intent,Medium; keep one canonical route owner,Add safely to existing page,Add to the matching route page only when it fits the page intent,Generated from validated route + service pattern; verify before page creation
718,P1,family transport from Qatif to Bahrain,EN,Systematic long-tail expansion,Commercial,Qatif,Bahrain,Family/group,Qatif → Bahrain,/bahrain-saudi-gcc-transport/en/qatif-to-bahrain/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,High if split into thin locality pages,Add safely to existing page or evaluate hub,Use Dammam/Khobar/Eastern Province coverage first; create a dedicated page only after unique intent and sufficient facts are confirmed,Generated from validated route + service pattern; verify before page creation
719,P1,family transport from Riyadh to Bahrain,EN,Systematic long-tail expansion,Commercial,Riyadh,Bahrain,Family/group,Riyadh → Bahrain,/bahrain-saudi-gcc-transport/en/riyadh-to-bahrain/,Workbook marks route as protected; preserve existing ranking content,Dedicated bilingual route page exists,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,High; protect existing winner,Protect,Leave primary SEO fields and ranking content unchanged; add only small safe conversion support,Generated from validated route + service pattern; verify before page creation
720,P1,GCC airport transfer from Bahrain,EN,Service-intent expansion,Commercial,Bahrain,,Airport transfer,Airport transfer,/bahrain-saudi-gcc-transport/,No numeric ranking evidence supplied for this keyword,No exact phrase found; contextual coverage required,Cluster with an existing service page unless unique intent and enough factual content justify a new page,Medium; validate before publishing,Evaluate for genuinely useful new page,Cluster with an existing service page unless unique intent and enough factual content justify a new page,Service-level opportunity; match only to supported services
